1727283180.70	0	9
1727283185.94	1	32
1727283186.01	2	42
1727283186.07	3	434
1727283186.14	4	53
1727283186.21	5	100
1727283186.28	6	443
1727283186.34	7	57
1727283186.41	8	327
1727283186.54	9	250
1727283186.61	10	33
1727283186.68	11	506
1727283186.74	12	220
1727283186.81	13	455
1727283186.88	14	146
1727283187.01	15	205
1727283187.08	16	7
1727283187.15	17	199
1727283187.21	18	385
1727283187.28	19	458
1727283187.35	20	303
1727283187.42	21	9
1727283190.12	22	395
1727283190.19	23	495
1727283190.26	24	408
1727283190.32	25	329
1727283190.39	26	250
1727283190.46	27	42
1727283190.52	28	172
1727283190.59	29	75
1727283190.66	30	444
1727283190.73	31	457
1727283190.86	32	307
1727283190.93	33	53
1727283190.99	34	280
1727283191.06	35	48
1727283191.13	36	443
1727283191.20	37	475
1727283191.26	38	265
1727283191.33	39	413
1727283191.40	40	417
1727283191.46	41	213
1727283191.53	42	318
1727283191.60	43	326
1727283191.66	44	324
1727283191.80	45	510
1727283191.87	46	254
1727283191.93	47	60
1727283192.00	48	450
1727283192.07	49	9
1727283199.41	50	384
1727283199.47	51	341
1727283199.54	52	303
1727283199.61	53	93
1727283199.68	54	368
1727283199.74	55	454
1727283199.94	56	391
1727283200.01	57	218
1727283200.08	58	424
1727283200.15	59	23
1727283200.21	60	62
1727283200.35	61	273
1727283200.41	62	358
1727283200.48	63	115
1727283200.55	64	412
1727283200.61	65	57
1727283200.68	66	82
1727283200.75	67	203
1727283200.95	68	472
1727283201.02	69	367
1727283201.08	70	181
1727283201.22	71	280
1727283201.29	72	508
1727283201.35	73	220
1727283201.42	74	480
1727283201.49	75	152
1727283201.55	76	9
1727283209.48	77	262
1727283209.55	78	289
1727283209.68	79	289
1727283209.75	80	36
1727283209.82	81	366
1727283209.89	82	337
1727283209.95	83	391
1727283210.02	84	113
1727283210.09	85	361
1727283210.15	86	289
1727283210.22	87	480
1727283210.29	88	141
1727283210.36	89	314
1727283210.42	90	0
1727283210.49	91	469
1727283210.56	92	226
1727283210.62	93	363
1727283210.69	94	305
1727283210.76	95	158
1727283210.82	96	39
1727283210.89	97	153
1727283210.96	98	213
1727283211.03	99	216
1727283211.09	100	270
1727283211.16	101	53
1727283211.23	102	380
1727283211.29	103	204
1727283211.36	104	124
1727283211.43	105	9
1727283216.26	106	9
1727283219.73	107	387
1727283219.80	108	330
1727283219.87	109	53
1727283220.00	110	182
1727283220.07	111	201
1727283220.14	112	313
1727283220.20	113	209
1727283220.27	114	351
1727283220.34	115	174
1727283220.41	116	74
1727283220.47	117	308
1727283220.54	118	423
1727283220.61	119	171
1727283220.67	120	182
1727283220.74	121	417
1727283220.81	122	189
1727283220.88	123	192
1727283220.94	124	313
1727283221.01	125	401
1727283221.08	126	86
1727283221.14	127	50
1727283221.21	128	134
1727283221.28	129	9
1727283222.66	130	63
1727283222.73	131	313
1727283222.80	132	123
1727283222.86	133	97
1727283222.93	134	96
1727283223.07	135	443
1727283223.13	136	183
1727283223.20	137	325
1727283223.27	138	248
1727283223.33	139	64
1727283223.40	140	80
1727283223.47	141	271
1727283223.54	142	483
1727283223.60	143	479
1727283223.67	144	497
1727283223.74	145	509
1727283223.80	146	37
1727283223.87	147	483
1727283223.94	148	82
1727283224.00	149	81
1727283224.07	150	393
1727283224.21	151	64
1727283224.27	152	9
1727283228.05	153	9
1727283232.80	154	161
1727283232.87	155	283
1727283232.94	156	510
1727283233.01	157	405
1727283233.07	158	363
1727283233.14	159	429
1727283233.21	160	313
1727283233.27	161	360
1727283233.34	162	81
1727283233.41	163	392
1727283233.48	164	281
1727283233.61	165	418
1727283233.68	166	198
1727283233.74	167	90
1727283233.81	168	441
1727283233.88	169	163
1727283233.95	170	327
1727283234.01	171	393
1727283234.08	172	277
1727283234.15	173	328
1727283234.28	174	9
1727283241.20	175	9
